Dance,Song Title,Artist/Group,Found,Feature
2ST,Get My Drink On,Toby Keith,True,"[-6.59132919e+01  1.56619232e+02 -3.65977020e+01  5.13193932e+01
 -1.95739803e+01  2.98126717e+01 -1.13988466e+01  1.12737780e+01
 -2.09183002e+00  5.19119215e+00 -3.36848450e+00  2.66257852e-01
  3.72691661e-01  4.58321691e-01  4.38089192e-01  5.12627542e-01
  4.34331834e-01  4.24446076e-01  4.18500692e-01  4.52283263e-01
  4.96187627e-01  5.78424573e-01  6.35525703e-01  4.55436319e-01
  4.60851252e-01  1.88220514e+01  1.05043280e+01  1.44438592e+01
  1.67257091e+01  1.61816686e+01  1.69251518e+01  4.88269688e+01
  5.74731974e-02  1.01332721e+02]"
2ST,Goin Swingin Tonight,Foster Martin Band,True,"[-1.24447548e+02  1.61047989e+02 -3.40209694e+01  4.77135925e+01
  3.69795108e+00  2.49527969e+01 -5.60630226e+00  1.26164312e+01
 -1.15236883e+01  5.00181293e+00 -1.01243134e+01 -5.95269144e-01
  4.14486323e-03  4.36083019e-01  3.65625322e-01  4.20548379e-01
  4.45198596e-01  4.72988695e-01  5.86927593e-01  4.10657614e-01
  4.05173957e-01  4.48486477e-01  4.80955899e-01  4.36398476e-01
  3.84220362e-01  1.55484299e+01  8.86676759e+00  1.57329405e+01
  1.75296585e+01  1.75533451e+01  1.84906476e+01  4.47701455e+01
  5.48632359e-02  9.22851562e+01]"
2ST,Goin' Swingin Tonight,Foster Martin Band,True,"[-1.24447548e+02  1.61047989e+02 -3.40209694e+01  4.77135925e+01
  3.69795108e+00  2.49527969e+01 -5.60630226e+00  1.26164312e+01
 -1.15236883e+01  5.00181293e+00 -1.01243134e+01 -5.95269144e-01
  4.14486323e-03  4.36083019e-01  3.65625322e-01  4.20548379e-01
  4.45198596e-01  4.72988695e-01  5.86927593e-01  4.10657614e-01
  4.05173957e-01  4.48486477e-01  4.80955899e-01  4.36398476e-01
  3.84220362e-01  1.55484299e+01  8.86676759e+00  1.57329405e+01
  1.75296585e+01  1.75533451e+01  1.84906476e+01  4.47701455e+01
  5.48632359e-02  9.22851562e+01]"
2ST,Gonna Fly,Amber Lawrence,True,"[-9.60738831e+01  1.59794708e+02 -2.98731041e+01  4.67668762e+01
 -1.58448086e+01  2.07185383e+01 -1.30949287e+01  1.19888134e+01
 -4.53834629e+00  7.80132389e+00  1.06270289e+00  5.24431992e+00
 -4.91299009e+00  2.89634675e-01  4.22738075e-01  6.10386789e-01
  3.94884586e-01  2.94521779e-01  2.71302581e-01  3.80271703e-01
  5.62884033e-01  3.96341145e-01  4.28582907e-01  3.05133700e-01
  3.18926603e-01  1.48825800e+01  1.12418030e+01  1.71667873e+01
  2.04498235e+01  1.93558680e+01  1.90870304e+01  4.69356211e+01
  5.07742584e-02  9.57031250e+01]"
2ST,Good Mistake To Make,Mallory Johnson,True,"[-1.13172966e+02  1.53721085e+02 -2.13579426e+01  3.99752312e+01
 -1.29128275e+01  2.38372955e+01 -2.38631973e+01  1.56332083e+01
 -1.34653187e+01  4.75229931e+00 -7.71219540e+00  3.82456636e+00
 -8.72217464e+00  3.18835706e-01  3.11126649e-01  2.79951245e-01
  3.84719819e-01  3.58389944e-01  3.18213493e-01  3.96548003e-01
  2.78465688e-01  2.74254531e-01  2.61354893e-01  3.48977327e-01
  4.57699656e-01  1.96909966e+01  1.06385921e+01  1.63578625e+01
  1.84410356e+01  1.85838056e+01  1.90094305e+01  4.63337262e+01
  4.99806124e-02  9.22851562e+01]"
2ST,Good Time Charley's,George Strait,True,"[-1.11590256e+02  1.77845535e+02 -6.04158516e+01  4.43208084e+01
 -1.23650589e+01  2.48065681e+01 -1.18340387e+01  1.01026688e+01
 -4.31424665e+00  2.56951213e+00 -6.26417220e-01 -2.46444464e+00
  1.56734574e+00  4.11638200e-01  4.34976101e-01  5.24878740e-01
  3.95850718e-01  3.87264132e-01  3.97201151e-01  4.38555121e-01
  4.28316295e-01  4.64908659e-01  5.80071568e-01  3.70020956e-01
  4.01960343e-01  1.68636509e+01  9.96358078e+00  1.45523430e+01
  1.72941483e+01  1.79419342e+01  1.80597700e+01  4.57992823e+01
  6.10512181e-02  9.75088443e+01]"
2ST,Hard Not to Love It,Steve Moakler,True,"[-7.79098434e+01  1.59746658e+02 -2.44980316e+01  4.37058144e+01
 -2.21563511e+01  2.48030148e+01 -1.20792770e+01  1.20278416e+01
 -3.93103933e+00  5.71996069e+00  5.99347472e-01  7.83245623e-01
 -2.96364069e+00  4.32942063e-01  4.07142848e-01  4.70409960e-01
  4.15598005e-01  4.31811363e-01  3.64797890e-01  4.21674699e-01
  5.66896737e-01  4.49914932e-01  4.93065178e-01  4.10745054e-01
  4.80439216e-01  1.68162743e+01  1.14342520e+01  1.49842858e+01
  1.79731201e+01  1.79912153e+01  1.92598565e+01  4.70825468e+01
  5.69987105e-02  8.61328125e+01]"
2ST,Haywire,Josh Turner,True,"[-9.57449417e+01  1.63066071e+02 -2.89872074e+01  4.51584892e+01
 -1.58949242e+01  3.40446281e+01 -1.58112087e+01  1.32843161e+01
 -6.48635006e+00  1.11926384e-01 -5.90071392e+00 -4.46319968e-01
 -2.22765446e+00  3.55344892e-01  3.98302525e-01  4.85974044e-01
  4.96912569e-01  4.57712829e-01  4.96913284e-01  4.42273080e-01
  4.88062382e-01  4.91081029e-01  5.12349248e-01  6.02938890e-01
  3.93688917e-01  1.55324338e+01  9.80447342e+00  1.51663529e+01
  1.71770504e+01  1.78101150e+01  1.90110389e+01  4.71786950e+01
  4.91419931e-02  8.75926907e+01]"
2ST,Hello Love,Raybon Brothers,True,"[-1.11865829e+02  1.54396286e+02 -3.53185043e+01  3.87089310e+01
 -5.33239269e+00  2.78992844e+01 -1.52287216e+01  1.37603388e+01
 -4.27105093e+00  1.06353598e+01 -7.64367867e+00  8.87136555e+00
  1.71482372e+00  3.70072156e-01  3.61827642e-01  3.61153841e-01
  4.36749488e-01  5.30608535e-01  4.19749200e-01  4.03232872e-01
  3.70019436e-01  4.43940163e-01  4.06313956e-01  4.19663429e-01
  5.06100237e-01  1.46214767e+01  1.09806630e+01  1.63089461e+01
  1.82350095e+01  1.77272461e+01  1.96196432e+01  4.60940710e+01
  5.33290426e-02  8.61328125e+01]"
2ST,I Could Get Used to This Lovin' Thing,Alan Jackson,True,"[-1.57782501e+02  1.63494019e+02 -2.51334133e+01  4.72185669e+01
 -3.32009697e+00  3.29185600e+01 -1.28948212e+01  6.61799192e+00
  2.45277762e+00  4.25338984e+00 -3.90576029e+00  2.42418122e+00
 -6.20822370e-01  4.99043375e-01  4.85812962e-01  3.96332532e-01
  4.33953524e-01  4.23933953e-01  4.33925509e-01  5.19038856e-01
  4.81373787e-01  5.20375669e-01  4.99906123e-01  5.77771544e-01
  5.86738586e-01  1.45979497e+01  1.04741703e+01  1.52156023e+01
  1.74027518e+01  1.76050261e+01  1.86490025e+01  4.45454737e+01
  4.54364222e-02  9.22851562e+01]"
